"Year","Mean Gini-Simpson Index, Census Race Assignment","SD Gini-Simpson Index, Census Race Assignment","Mean Gini-Simpson Index, Wikipedia Race Assignment","SD Gini-Simpson Index, Wikipedia Race Assignment","Robust (3 Random Authors) Mean Gini-Simpson Index, Census Race Assignment","Robust (3 Random Authors) SD Gini-Simpson Index, Census Race Assignment","NA"
2008,"Patent-Cited",0.297903152190519,0.00122385752980859,0.47477949430211,0.00124763025406406,0.244943651330493,0.00139342074999205
2009,"Non-Patent-Cited",0.242949379873922,0.000637571145697549,0.420266746569925,0.000678265712519371,0.206402136314527,0.000687252593233595
2009,"Patent-Cited",0.297462725303839,0.00122795771111587,0.472607801726086,0.00126570471777798,0.24191503362383,0.001402561658602
2010,"Non-Patent-Cited",0.246585814689423,0.000620080395472606,0.423559815296668,0.00065873605742568,0.207532299741602,0.000669579406623352
2010,"Patent-Cited",0.304892205936691,0.00123084667493919,0.474977283515058,0.00127453910954417,0.24994876083196,0.00141265262309738
2011,"Non-Patent-Cited",0.252797430912334,0.000592886513972202,0.427508340680883,0.000627949378610278,0.213189527555725,0.000643597448560955
2011,"Patent-Cited",0.30868067834293,0.00125196982229439,0.479731159942374,0.0012884492530174,0.2490819836883,0.00144643132278337
2012,"Non-Patent-Cited",0.256214324326954,0.000568891854695949,0.429675538254162,0.000602565044741962,0.215306004852721,0.000618405378284233
2012,"Patent-Cited",0.313341329233156,0.00130689558843344,0.48433295777928,0.00134916112775672,0.255132811649364,0.0015205511187197
2013,"Non-Patent-Cited",0.257627725134911,0.000556346901168458,0.431848541185269,0.000590375743075052,0.216311105399887,0.000608028802317777
2013,"Patent-Cited",0.315081598973741,0.00140666474267848,0.482744339557332,0.00146613574132419,0.255318914207858,0.00164140513148528
2014,"Non-Patent-Cited",0.261828998599417,0.000558941993118464,0.433925436685844,0.000592574504281414,0.218478512507463,0.000612509024799844
2014,"Patent-Cited",0.315976032257177,0.00157647516659503,0.482215574196695,0.00164709623621165,0.253508536694377,0.00183610551832881
2015,"Non-Patent-Cited",0.265638669407456,0.000543280365514224,0.437636748946157,0.00057360519278519,0.221468087433581,0.000596778114137976
2015,"Patent-Cited",0.317719000630721,0.00171792556823844,0.485700614356359,0.00179724976274641,0.255167762603271,0.00203191904826562
